Time;Output 1;Output 2;Output 3;Output 4
15:51:23;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:24;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:25;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:26;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:27;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:28;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:29;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:30;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:31;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:32;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:33;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:34;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:35;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:36;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:37;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:38;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:39;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:41;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:42;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:43;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:44;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:45;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:46;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:47;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:48;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:49;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:50;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:51;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:52;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:53;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:54;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:55;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:56;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:57;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:58;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:51:59;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:52:00;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:52:01;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:52:02;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:52:03;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:52:04;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:52:06;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:52:07;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:52:08;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:52:09;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:52:10;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:52:11;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:52:12;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:52:13;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:52:14;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:52:15;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:52:16;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:52:17;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:52:18;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:52:19;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:52:20;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
15:52:21;HIGHACTIVE;HIGHACTIVE;LOWACTIVE;HIGHACTIVE
